email,_website,_store,confirmation,created_at,created_in,disable_auto_group_change,dob,firstname,gender,group_id,lastname,middlename,password_hash,prefix,rp_token,rp_token_created_at,store_id,suffix,taxvat,website_id,password,_address_city,_address_company,_address_country_id,_address_fax,_address_firstname,_address_lastname,_address_middlename,_address_postcode,_address_prefix,_address_region,_address_street,_address_suffix,_address_telephone,_address_vat_id,_address_default_billing_,_address_default_shipping_
,,,,,,,,,,,,,,,,,,,,,,Princeton,buybuyBaby #3068,US,275-8734,Receiving,Department #3068,,08540-5938,,New Jersey,601 Nassau Park Blvd,,(609) 799-1442,,,
,,,,,,,,,,,,,,,,,,,,,,Lincoln Park,buybuyBaby #3069,US,274-0562,Receiving,Department #3069,,60642,,Illinois,1419 N Kingsbury Street,,(312) 274-0517,,,
,,,,,,,,,,,,,,,,,,,,,,Ballwin,buybuyBaby #3070,US,527-0281,Receiving,Department #3070,,63011-3026,,Missouri,15355A Manchester Road,,(636) 527-0154,,,
,,,,,,,,,,,,,,,,,,,,,,Jacksonville,buybuyBaby #3071,US,363-1318,Receiving,Department #3071,,32256-0796,,Florida,8801 Southside Blvd Unit 10,,(904) 363-6014,,,
,,,,,,,,,,,,,,,,,,,,,,Altamonte Springs,buybuyBaby #3072,US,332-0210,Receiving,Department #3072,,32701-4324,,Florida,130 E Altamonte Dr Suite 1000,,(407) 332-0156,,,
,,,,,,,,,,,,,,,,,,,,,,W DESMOINES,buybuyBaby #3073,US,327-5053,Receiving,Department #3073,,50266-5958,,Iowa,4100 University Ave Ste 115,,(515) 223-3823,,,
,,,,,,,,,,,,,,,,,,,,,,Orlando,buybuyBaby #3074,US,982-3694,Receiving,Department #3074,,32803-5121,,Florida,3206 East Colonial Drive,,(407) 895-7114,,,
,,,,,,,,,,,,,,,,,,,,,,Royal Palm Beach,buybuyBaby #3075,US,790-4853,Receiving,Department #3075,,33411-3523,,Florida,550 North State Road 7,,(561) 790-0726,,,
,,,,,,,,,,,,,,,,,,,,,,Torrance,buybuyBaby #3076,US,540-1963,Receiving,Department #3076,,90503-4808,,California,3700 Torrance Blvd.,,(310) 316-3794,,,
,,,,,,,,,,,,,,,,,,,,,,Tucson,buybuyBaby #3079,US,742-4763,Receiving,Department #3079,,85741-2308,,Arizona,7401 North La Cholla Blvd,,(520) 297-1146,,,
,,,,,,,,,,,,,,,,,,,,,,West Long Branch,buybuyBaby #3081,US,542-1708,Receiving,Department #3081,,07764-1026,,New Jersey,310 Route 36,,(732) 542-1953,,,
,,,,,,,,,,,,,,,,,,,,,,ROCKAWAY,buybuyBaby #3082,US,366-1463,Receiving,Department #3082,,7866-1649,,New Jersey,327 Mount Hope Ave Suite 1003,,(973) 989-9120,,,
,,,,,,,,,,,,,,,,,,,,,,AMHERST,buybuyBaby #3083,US,835-1510,Receiving,Department #3083,,14226-1160,,New York,1261 Niagara Falls Blvd Ste 1,,(716) 833-3714,,,
,,,,,,,,,,,,,,,,,,,,,,Mission Viejo,buybuyBaby #3084,US,282-0097,Receiving,Department #3084,,92691-6906,,California,25322 El Paseo,,(949) 282-0024,,,
,,,,,,,,,,,,,,,,,,,,,,Fredricksburg,buybuyBaby #3085,US,786-6090,Receiving,Department #3085,,224014915,,Virginia,1320 Carl D Silver Pkwy Ste100,,(540) 786-8746,,,
,,,,,,,,,,,,,,,,,,,,,,Knoxville,buybuyBaby #3086,US,692-5432,Receiving,Department #3086,,37919-5876,,Tennessee,202 Morrell Road,,(865) 690-3357,,,
,,,,,,,,,,,,,,,,,,,,,,Roseville,buybuyBaby #3088,US,791-2421,Receiving,Department #3088,,95678-1992,,California,"1120 Galleria Blvd
Suite 160",,(916) 791-2400,,,
,,,,,,,,,,,,,,,,,,,,,,Milford,buybuyBaby #3089,US,874-6391,Receiving,Department #3089,,06460-2703,,Connecticut,1201 Boston Post Road,,(203) 874-6438,,,
,,,,,,,,,,,,,,,,,,,,,,Maplewood,buybuyBaby #3090,US,646-8742,Receiving,Department #3090,,63143-3709,,Missouri,3200 Laclede Station Suite D,,(314) 646-8716,,,
,,,,,,,,,,,,,,,,,,,,,,GURNEE,Bed Bath & Beyond #0036,US,(000) 000-0000,Receiving,Department #0036,,60031,,Illinois,6132 GRAND AVE,,(000) 000-0000,,,
,,,,,,,,,,,,,,,,,,,,,,Westminster,Bed Bath & Beyond #0355,US,(000) 000-0000,Receiving,Department #0355,,80021,,Colorado,7225 W. 88th Avenue,,(000) 000-0000,,,
,,,,,,,,,,,,,,,,,,,,,,Port Reading,Bed Bath & Beyond #0653,US,(000) 000-0000,Receiving,Department #0653,,07064,,New Jersey,1001 W. Middlesex Avenue,,(000) 000-0000,,,
,,,,,,,,,,,,,,,,,,,,,,Pendergrass,Bed Bath & Beyond #0657,US,(000) 000-0000,Receiving,Department #0657,,30567,,Georgia,860 John B Brooks Road,,(000) 000-0000,,,
,,,,,,,,,,,,,,,,,,,,,,Lancaster,Bed Bath & Beyond #1331,US,(000) 000-0000,Receiving,Department #1331,,17602,,Pennsylvania,2350 Lincoln Highway East Suite 100,,(000) 000-0000,,,
